source_file,종목명,종목코드,권장호라이즌,last_close,매수가(entry),익절가(tp),손절가(sl),RR,Score_1w,ord_qty,side,confidence,holding_days,valid_until,ATR,buf_close,buf_high,buf_low,요약점수(h1),요약점수(h2),요약점수(h3),ex_base_h1,ex_pen_h1,ex_base_h2,ex_pen_h2,ex_base_h3,ex_pen_h3,flags_h1,flags_h2,flags_h3,warn_bad_RR,h1_MAPE(%),h1_DirAcc(%),h1_Bias,h1_MAE,h1_count,h3_MAPE(%),h3_DirAcc(%),h3_Bias,h3_MAE,h3_count,h2_MAPE(%),h2_DirAcc(%),h2_Bias,h2_MAE,h2_count
pred_LG이노텍_011070.csv,LG이노텍,011070,h1,253500.0,251580.0,267270.0,245850.0,2.74,185.0,1,BUY,0.356,1,2025-11-10T15:20:00+09:00,11000.0,7651.589,6600.0,6600.0,0.9,1.6,1.6,0.2,0.7,0.65,0.95,0.65,0.95,MAPE>MAX;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,3.7415542309733936,59.523809523809526,6007.360792714497,7651.58866061721,43.0,,,,,,,,,,
pred_대한전선_001440.csv,대한전선,001440,h2,24750.0,24410.0,27150.0,23420.0,2.77,165.0,1,BUY,0.299,2,2025-11-10T15:20:00+09:00,2230.833,1338.5,1514.79,1338.5,1.35,1.2,1.8,0.4,0.95,0.25,0.95,0.85,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,4.835907470475193,50.0,-693.140455910138,980.3422778844833,42.0
pred_롯데웰푸드_280360.csv,롯데웰푸드,280360,h1,124900.0,124400.0,128460.0,122930.0,2.76,155.0,1,BUY,0.568,1,2025-11-10T15:20:00+09:00,3299.995,1979.997,1979.997,4007.442,0.325,0.875,1.45,0.075,0.25,0.425,0.45,1.0,0.45,DA<MIN,DA<MIN;|Bias|>r*MAE,DA<MIN;|Bias|>r*MAE,0,1.2558989388646573,50.0,596.1925480254861,1455.2770302739227,43.0,,,,,,,,,,
pred_한미약품_128940.csv,한미약품,128940,h2,438999.97,433600.0,477820.0,417430.0,2.73,155.0,1,BUY,0.241,2,2025-11-10T15:20:00+09:00,33333.338,21570.932,20634.755,20000.003,1.65,1.25,1.45,0.7,0.95,0.3,0.95,0.5,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,5.736669522076697,47.61904761904761,-19238.870923717812,21570.931774519737,42.0
pred_한올바이오파마_009420.csv,한올바이오파마,009420,h1,46300.0,45840.0,49580.0,44480.0,2.75,145.0,1,BUY,0.464,1,2025-11-10T15:20:00+09:00,3037.499,1822.499,1822.499,1822.499,0.9,1.7,1.3,0.15,0.75,0.75,0.95,0.6,0.7,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;|Bias|>r*MAE,0,2.802142186933653,50.0,-500.7105362276695,1032.8323633864868,43.0,,,,,,,,,,
pred_SK바이오팜_326030.csv,SK바이오팜,326030,h2,116000.01,115180.0,121880.0,112740.0,2.75,145.0,1,BUY,0.463,2,2025-11-10T15:20:00+09:00,5449.999,3269.999,9367.714,8756.387,1.3,1.05,1.8,0.35,0.95,0.3,0.75,0.85,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,2.8934212735442157,35.714285714285715,-1209.123628622011,3173.455601504873,42.0
pred_SK하이닉스_000660.csv,SK하이닉스,000660,h1,580000.01,574850.0,617080.0,559410.0,2.74,145.0,1,BUY,0.398,1,2025-11-10T15:20:00+09:00,34333.343,20600.006,20600.006,20600.006,0.7,1.55,1.85,0.0,0.7,0.6,0.95,0.9,0.95,MAPE>MAX;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,3.7806313196038097,64.28571428571429,10721.127515615419,16915.99286157032,43.0,,,,,,,,,,
pred_SK이노베이션_096770.csv,SK이노베이션,096770,h1,115900.01,114950.0,122700.0,112130.0,2.75,140.0,1,BUY,0.573,1,2025-11-10T15:20:00+09:00,6300.0,3780.0,3780.0,3780.0,0.4,1.1,1.95,0.15,0.25,0.35,0.75,1.0,0.95,DA<MIN,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,2.083556572558097,45.23809523809524,-314.65344470601053,2433.0085780731456,43.0,,,,,,,,,,
pred_효성중공업_298040.csv,효성중공업,298040,h1,2187999.93,2164980.0,2353680.0,2095950.0,2.73,140.0,1,BUY,0.543,1,2025-11-10T15:20:00+09:00,153416.688,92050.013,106161.138,92050.013,0.5,1.6,1.8,0.0,0.5,0.65,0.95,0.85,0.95,MAPE>MAX,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,2.8092044255423922,64.28571428571429,-17017.767122061825,46816.91806296343,43.0,,,,,,,,,,
pred_HD현대일렉트릭_267260.csv,HD현대일렉트릭,267260,h3,817999.99,808890.0,830310.0,891080.0,,140.0,1,BUY,0.346,3,2025-11-11T15:20:00+09:00,60708.293,36424.976,64195.563,36424.976,1.95,1.45,0.95,1.0,0.95,0.5,0.95,0.0,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,1,,,,,,5.020947257251175,51.21951219512195,-19599.542471810088,36156.79170384639,41.0,,,,,
pred_하나금융지주_086790.csv,하나금융지주,086790,h1,92000.0,91530.0,95320.0,90160.0,2.77,135.0,1,BUY,0.406,1,2025-11-10T15:20:00+09:00,3041.666,1846.366,1825.0,1825.0,0.525,1.475,1.85,0.075,0.45,0.525,0.95,0.9,0.95,DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,2.08441864250443,52.38095238095239,-1730.3807821384692,1846.3657842126,43.0,,,,,,,,,,
pred_한온시스템_018880.csv,한온시스템,018880,h1,4275.0,4230.0,4580.0,4110.0,2.92,130.0,1,BUY,0.52,1,2025-11-10T15:20:00+09:00,291.25,174.75,174.75,186.995,0.25,1.55,1.65,0.0,0.25,0.6,0.95,0.9,0.75,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,0,2.4993428105399875,54.761904761904766,37.2833623026692,90.76522870119233,43.0,,,,,,,,,,
pred_현대백화점_069960.csv,현대백화점,069960,h2,91400.0,90720.0,96250.0,88710.0,2.75,130.0,1,BUY,0.339,2,2025-11-10T15:20:00+09:00,3175.001,2697.374,1983.495,2318.575,1.75,1.05,1.35,0.8,0.95,0.1,0.95,0.6,0.75,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,0,,,,,,,,,,,3.235100348963656,47.61904761904761,-2406.351970916702,2697.3743320930566,42.0
pred_삼성화재_000810.csv,삼성화재,000810,h1,487999.97,485670.0,504700.0,478720.0,2.74,130.0,1,BUY,0.396,1,2025-11-10T15:20:00+09:00,14125.005,9283.206,8475.003,8475.003,0.675,1.875,1.3,0.225,0.45,0.925,0.95,0.35,0.95,DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,2.021371201814893,45.23809523809524,-8045.930723118233,9283.205586117365,43.0,,,,,,,,,,
pred_두산로보틱스_454910.csv,두산로보틱스,454910,h2,77099.99,76260.0,83080.0,73780.0,2.75,125.0,1,BUY,0.408,2,2025-11-10T15:20:00+09:00,5541.669,3325.001,3449.098,3325.001,1.6,0.95,1.8,0.65,0.95,0.0,0.95,0.85,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,3.78638201900343,54.761904761904766,-1538.6565167279464,2878.601313346908,42.0
pred_LS_006260.csv,LS,006260,h1,202000.01,200060.0,215940.0,194260.0,2.74,125.0,1,BUY,0.633,1,2025-11-10T15:20:00+09:00,12908.329,7744.998,8079.334,7744.998,0.0,1.8,1.6,0.0,0.0,0.85,0.95,0.65,0.95,,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,2.1193777009874424,69.04761904761905,267.15765734051683,4072.54793713259,43.0,,,,,,,,,,
pred_HD현대_267250.csv,HD현대,267250,h1,207500.02,205030.0,225220.0,197660.0,2.74,125.0,1,BUY,0.594,1,2025-11-10T15:20:00+09:00,16408.333,9845.0,9845.0,9845.0,0.65,0.95,1.65,0.15,0.5,0.45,0.5,0.9,0.75,MAPE>MAX,MAPE>MAX,MAPE>MAX;DA<MIN,0,2.5909516298167286,61.904761904761905,188.10966734042145,4665.791388635458,43.0,,,,,,,,,,
pred_하이브_352820.csv,하이브,352820,h1,305499.98,303050.0,323110.0,295720.0,2.74,125.0,1,BUY,0.433,1,2025-11-10T15:20:00+09:00,16312.489,9787.493,18739.601,9787.493,0.45,1.95,1.45,0.0,0.45,1.0,0.95,0.5,0.95,DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,2.4584813143473667,52.38095238095239,4539.849286162577,7174.647402624747,43.0,,,,,,,,,,
pred_SK케미칼_285130.csv,SK케미칼,285130,h2,70300.0,69720.0,74400.0,68020.0,2.75,120.0,1,BUY,0.342,2,2025-11-10T15:20:00+09:00,3716.665,2282.836,3017.911,2229.999,1.95,1.05,1.15,1.0,0.95,0.1,0.95,0.4,0.75,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,0,,,,,,,,,,,3.522542470926397,52.38095238095239,-1879.443528822489,2282.835693870271,42.0
pred_LG화학_051910.csv,LG화학,051910,h2,382000.01,378940.0,403990.0,369790.0,2.74,120.0,1,BUY,0.538,2,2025-11-10T15:20:00+09:00,19708.337,12219.874,12893.445,17113.599,1.05,0.75,1.65,0.35,0.7,0.25,0.5,0.9,0.75,MAPE>MAX;|Bias|>r*MAE,MAPE>MAX,MAPE>MAX;DA<MIN,0,,,,,,,,,,,3.608318144406184,64.28571428571429,2428.5009659472034,12219.873627026882,42.0
